,sku_number,sku_name,sku_url,full_description,short_description,Allergen Information,Nutrition Information,Product Packaging,Container,Benefits,Shelf Life,Ingredients,Description,Storage,Preparation,Yield,Tips
32,21024798,BEST FOODS Vanilla Flavoured Filling 900 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-vanilla-flavoured-filling-900-g-1-EN-113355.html,[''],[''],"Might contain sulphides, soy, and milk.",,9 x 900 g.,Pouch,,6 months,"Sugar 23%, Fructose syrup 6%, Tickener (INS1442), Artificial colours (INS 102, INS 110, INS 171) Preservatives (INS 202, INS 211), Acidity regulator (INS  507), Nature-identical flavour added.",,Keep in refrigerator after opening.,,,
33,21024688,BEST FOODS Blueberry Flavoured Filling 900 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-blueberry-flavoured-filling-900-g-1-EN-113356.html,[''],[''],Contain soybean oil and might contain product from milk and sulphides.,,9 x 900 g.,Pouch,,6 months,"Sugar 16%, Fructose syrup 15%, Blueberry 0.5%, Thickener (INS 1442), Acidity regulator (INS 330, INS331(iii)), Preservatives (INS 202, INS Nature-Identical flavour added",,Keep in refrigerator after opening.,,,
34,20296072,BEST FOODS Pandan Custard Flavoured Filling 1.8 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-pandan-custard-flavoured-filling-1-8-kg-1-EN-113353.html,[''],[''],"Contain milk and might contain soybean oil, sulphides.",,4 x 1.8 kg.,Pouch,,6 months,"Sugar 15%, Fructose syrup 13%, Tickener (INS1442), Emulsifier (INS 435), Preservatives (INS 202, INS 211), Acidity regulator (INS 338, INS 507), Artificial colours (INS 102, INS 133, INS 171), Nature colour (INS 150c), Stabillizer (INS 415) Artificial flavour added",,Keep in refrigerator after opening.,,,
35,21024686,BEST FOODS Pandan Custard Flavoured Filling 900 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-pandan-custard-flavoured-filling-900-g-1-EN-113357.html,[''],[''],"Contain milk and might contain soybean oil, sulphides.",,9 x 900 g.,Pouch,,6 months,"Sugar 15%, Fructose syrup 13%, Tickener (INS1442), Emulsifier (INS 435), Preservatives (INS 202, INS 211), Acidity regulator (INS 338, INS 507), Artificial colours (INS 102, INS 133, INS 171), Nature colour (INS 150c), Stabillizer (INS 415) Artificial flavour added",,Keep in refrigerator after opening.,,,
36,21024689,BEST FOODS Banana Flavoured Filling 900 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-banana-flavoured-filling-900-g-1-EN-113358.html,[''],[''],"Might contain milk, soy, sulphides.",,9 x 900 g.,Pouch,,6 months,"Fructose syrup 12%, Sugar 11%, Glucose syrup 9%, Thickener (INS 1442), Aritificial colours (INS 102, INS 110, INS 171), Preservatives (INS 202, INS 211), Acidity regulator (INS 507) Nature-Identical flavour added",,Keep in refrigerator after opening.,,,
37,20102381,KNORR SELECTIONS Teriyaki Sauce 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-teriyaki-sauce-1-kg-1-EN-148322.html,[''],[''],"Contain wheat flour, soybean and might contain product from fish, celery, mustard.",,9 x 1 kg.,Pouch,,6 months,,,The product is good for 2 weeks in refrigerator after opening.,,,
38,21023645,KNORR Pork Flavoured Broth-Base 1.5 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-pork-flavoured-broth-base-1-5-kg-1-EN-114617.html,"['Made for Chefs by Chefs. Knorr Pork Flavoured Broth - Base is made with quality pork, blended with spices and flavours to give you that full-bodied meaty taste and pork aroma. With a delicious meaty taste, you can also use Knorr Pork Flavoured Broth - Base to replace bones and meat as desired, especially in stocks, soupy dishes, sauces and stews.']",[''],,,6 x 1.5 kg.,Tub,,9 months,"Iodized Salt 34%,Hydrogenated palm fat and Palm oil 16%,Sugar 7.7%,Pork (Pork meat and Pork fat) 6.4%, Spices 1.6%, Soy sauce 1.5%, Steamed pork bone concentrate 0.8%, Flavour enhancer (Monosodium glutamate, Glycine, Disodium 5' ribonucleotide), Antioxidant (INS330), Nature identical flavours added. No Preservatives added.","Made for Chefs by Chefs. Knorr Pork Flavoured Broth - Base is made with quality pork, blended with spices and flavours to give you that full-bodied meaty taste and pork aroma. With a delicious meaty taste, you can also use Knorr Pork Flavoured Broth - Base to replace bones and meat as desired, especially in stocks, soupy dishes, sauces and stews.",Close pack tightly and store in a cool and dry place.,"For a full - flavoured broth, add 20g of Knorr Pork Flavoured Broth - Base into 1L of boiling water. For a mild broth - add only 15g of Knorr Pork Flavoured Broth - Base into 1L of boiling water.",100 L.,
39,21023647,KNORR Beef Flavoured Broth-Base 1.5 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-beef-flavoured-broth-base-1-5-kg-1-EN-114616.html,"['Made for Chefs by Chefs. Knorr Beef Flavoured Broth - Base is made with good quality beef from Australia, blended with spices and flavours to give you that full-bodied meaty taste and beef aroma. With a delicious meaty taste, you can use Knorr Beef Flavoured Broth - Base to replace meat as desired, especially in beef-based stocks, soupy dishes, sauces and stews.']",[''],,,6 x 1.5 kg.,Tub,,9 months,"Iodized Salt 33%,Hydrogenated palm fat and Palm oil 20%, Beef (Beef Meat and Beef fat) 5%, Sugar 3%, Spices 1%, Flavour enhancer (Monosodium glutamate, Glycine, Disodium 5' ribonucleotide), Bulking agent (Maltodextrin), Naturecolour (INS 150c), Artificial flavour added. No Preservatives added.","Made for Chefs by Chefs. Knorr Beef Flavoured Broth - Base is made with good quality beef from Australia, blended with spices and flavours to give you that full-bodied meaty taste and beef aroma. With a delicious meaty taste, you can use Knorr Beef Flavoured Broth - Base to replace meat as desired, especially in beef-based stocks, soupy dishes, sauces and stews.",Close pack tightly and store in a cool and dry place.,"For a full - flavoured broth, add 20g of Knorr Beef Flavoured Broth - Base into 1L of boiling water. For a mild broth - add only 15g of Knorr Beef Flavoured Broth - Base into 1L of boiling water.",100 L.,
40,20269300,BEST FOODS Pineapple Spread FS 1.9 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-pineapple-spread-fs-1-9-kg-1-EN-113366.html,[''],[''],Contain sulphides.,,4 x 1.9 kg.,Tub,,6 months,"Sugar 51%, Pineapple 25%, Glucose syrup 10%, Acidity regulator (INS 330), Gelling agent (INS 440), Preservatives (INS 202, INS 211), Bleaching agent (INS 223), Antioxidant (INS 385), Artificial colour (INS 102) Artificial flavour added",,Keep in refrigerator after opening.,,,
41,20269299,BEST FOODS Strawberry Spread 4.3 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-strawberry-spread-4-3-kg-1-EN-113368.html,[''],[''],Contain sulphides.,,2 x 4.3 kg.,Tub,,6 months,"Sugar 48%, Strawberry 20%, Glucose syrup 10%, Acidity regulator (INS 330, INS 331 (iii)), Gelling agent (INS 440), Preservatives (INS 202, INS 211), Artificial colours (INS 110, INS 127), Nature-identical flavour added",,Keep in refrigerator after opening.,,,
42,20269298,BEST FOODS Orange Spread FS 4.3 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-orange-spread-fs-4-3-kg-1-EN-113369.html,[''],[''],Might contain sulphides.,,2 x 4.3 kg.,Tub,,6 months,"Sugar 58%, Glucose syrup 11%, Orange peel 10%, Gelling agent (INS 440), Acidity regulator (INS 330), preservatives (INS 202, INS 211), Artificial colours (INS 102, INS 110) Natural flavour added",,Keep in refrigerator after opening.,,,
43,20109127,BEST FOODS Chocolate Topping 1.2 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-chocolate-topping-1-2-kg-1-EN-113371.html,[''],[''],,,6 x 1.2 kg.,Bottle jar,,6 months,"Sugar 47%, Glucose syrup 20%, Cocoa powder 6%,Thickener (INS1442), Preservative (INS202)",,"Keep in room temparature, after opened please keep in temparature at 4c-10c in closed pack.",,,
44,21075953,KNORR SELECTIONS Chicken Dipping Sauce 4300 ml,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-chicken-dipping-sauce-4300-ml-1-EN-113416.html,['Made for chef by chefs. Knorr Chicken Dipping Sauce is the perfect dipping sauce for any Thai dishes. It can also be used to create a variety of sauce.'],[''],,,3 x 4300 ml.,Gallon,,6 months,"Sugar 37%, Red chilli pepper 9.3%, Distilled vinegar 4.2%, Iodized salt 1.7%, Frsh garlic 1.4% Nature Identical Flavour and Preservatives added. No MSG and No colour added.",Made for chef by chefs. Knorr Chicken Dipping Sauce is the perfect dipping sauce for any Thai dishes. It can also be used to create a variety of sauce.,The product is good for 8 weeks in refrigerator after opening,,,
45,21072911,BEST FOODS Thousand Island Salad Dressing 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-thousand-island-salad-dressing-1-kg-1-EN-151694.html,['The tangy Best Foods Thousand Island Salad Dressing is made from tomatoes and chunky pickled relish. It is ideal as dressing for your salad greens and as a dipping sauce for fried and grilled dishes.'],[''],"Contain soybean, egg, mustard, and sulphides, might contain celery.",,9 x 1 kg.,Pouch,,9 months,"Soybean oil 30%, Sugar 18%, Pickled relish 5.5%, Egg 4.5%, Distilled vinegar 4%, Tomato paste 2.6%, Iodized salt 1.6%, Thickener (INS 1442), Preservative (INS 202), Stabilizer (INS 415), Antioxidant (INS 385) Natural flavour added",The tangy Best Foods Thousand Island Salad Dressing is made from tomatoes and chunky pickled relish. It is ideal as dressing for your salad greens and as a dipping sauce for fried and grilled dishes.,The product is good for a month in refrigerator after opening.,,,
46,21075981,KNORR SELECTIONS Seasoning Sauce 4300 ml,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-seasoning-sauce-4300-ml-1-EN-113410.html,['Knorr Seasoning Sauce is an all-purpose seasoning prepared from soybean protein according to Knorrs recipe. This protein sauce instantly improves flavour of general cooking marinating as well as dipping.'],[''],"Contain wheat, soybean, and might contain product from fish, celery, mustard.",,3 x 4300 ml.,Gallon,,12 months,"Iodized salt 18%, Soy sauce 10%, Sugar 5.5%, Flavour Enhancer (Monosodium glutamate, Glycine, Disodium 5' ribonucleotide), Acidity regulator (INS 260), Natural colour (INS 150c), Preservatives (INS 202, INS 211), Nature identical flavour added",Knorr Seasoning Sauce is an all-purpose seasoning prepared from soybean protein according to Knorrs recipe. This protein sauce instantly improves flavour of general cooking marinating as well as dipping.,Keep refrigerate after opening. Used within 4 weeks.,,,
47,21075952,KNORR SELECTIONS Oyster Flavoured Sauce 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-oyster-flavoured-sauce-1-kg-1-EN-113415.html,"['Made for chefs by chefs. Knorr Oyster Flavoured Sauce creates its colour, sheen and texture specially for Thai cuisine. Perfect for stir-fry and marinade.']",[''],"Contain product from fish, peanut oil, sesame oil, might contain celery, mustard.",,12 x 1 kg.,Pouch,,6 months,"Sugar 10%, Iodized Salt 7.3%, Oyster flavour 0.3%, Thickener (INS 1442), Natural colour (INS 150c), Acidity regulator (INS 363), Flavour enhancer (Disodium 5'ribonucleotide), Stabilizer (INS 415), Preservative (INS 202), Nature-Identical flavours added","Made for chefs by chefs. Knorr Oyster Flavoured Sauce creates its colour, sheen and texture specially for Thai cuisine. Perfect for stir-fry and marinade.",The product is good for 2 weeks in refrigerator after opening.,,,
48,21076143,KNORR SELECTIONS Chili Sauce 5 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-chili-sauce-5-kg-1-EN-113412.html,['Made for chef by chefs. Knorr Chilli Sauce is the perfect dipping sauce for any local dishes. It can also be used to create a variety of sauces'],[''],,,3 x 5 kg.,Gallon,"Natural Colour and Presevatives added, No MSG added",9 months,"Sugar 20%, Red chilli pepper 12%, Distilled vinegar 6.3%, Iodized salt 3.2%, Garlic 1.8%, Pickled garlic 1.2% Natural Colour and Preservatives added No MSG added",Made for chef by chefs. Knorr Chilli Sauce is the perfect dipping sauce for any local dishes. It can also be used to create a variety of sauces,The product is good for 6 weeks in refrigerator after opening,,,
49,34091181,KNORR SELECTIONS Oyster Flavoured Sauce 5 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-oyster-flavoured-sauce-5-kg-1-EN-113413.html,"['Made for chefs by chefs. Knorr Oyster Flavoured Sauce creates its colour, sheen and texture specially for Thai cuisine. Perfect for stir-fry and marinade.']",[''],"Contain product from fish, peanut oil, sesame oil, might contain celery, mustard.",,3 x 5 kg.,Gallon,,9 months,"Sugar 10%, Iodized Salt 7.3%, Oyster flavour 0.3%, Thickener (INS1442), Natural colour (INS 150c), Acidity regulator (INS363), Flavour enhancer (Disodium 5' ribonucleotide), stabilizer (INS415), Preservative (INS202), Nature-Identical flavours added","Made for chefs by chefs. Knorr Oyster Flavoured Sauce creates its colour, sheen and texture specially for Thai cuisine. Perfect for stir-fry and marinade.",The product is good for 2 weeks in refrigerator after opening.,,,
50,20109132,BEST FOODS Margarine 15 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-margarine-15-kg-1-EN-200462.html,"['Margarine Premium quality, Good with various menu. Best Foods Margarine has given Perfect taste and flavour to your dishes.']",[''],Contain soy lecithin and may contain milk products,,1 x 15 kg.,Box,,12 months,"Palm oil 81%, Iodized Salt 2%, Emulisier (INS 322i, INS 471), Acidity regulator (INS 330, INS 331iii), Sequestrant (INS 385), Natural colour (INS 160aii), Nature-identical flavour added","Margarine Premium quality, Good with various menu. Best Foods Margarine has given Perfect taste and flavour to your dishes.",Keep in a cool dry place,,,
51,21023651,KNORR Pork Bone Soup Powder 500 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-pork-bone-soup-powder-500-g-1-EN-113381.html,"['Made for Chefs by Chefs, Knorr Pork Bone Soup Powder is made with good quality pork spinal bone for a sweet bone taste, creating a meaty stock that helps to round-off and finish with a delicious balanced taste.']",[''],"Contain product from milk, sulphides, and might contain soybean, celery, wheat.",,12 x 500 g.,Pouch,No Preservative added.,12 months,"Iodized salt 36%, Sugar 23%, Spices 2.9%, Pork stock powder 0.6%, Flavour enhancer (Monosodium glutamate, Disodium 5' ribonucleotide), Natural colour (INS150c)","Made for Chefs by Chefs, Knorr Pork Bone Soup Powder is made with good quality pork spinal bone for a sweet bone taste, creating a meaty stock that helps to round-off and finish with a delicious balanced taste.",Close pack tightly and store in a cool and dry place,For Stock: Add 15g of Knorr Pork Bone Soup Powder into 1L of boiling water,33 L.,
52,21075917,KNORR SELECTIONS Tomato Ketchup 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-tomato-ketchup-1-kg-1-EN-200173.html,['Made for chefs by chefs. Knorr Tomato Ketchup is made from real tomatoes and is the perfect dipping sauce for any western and local dishes!'],[''],,,12 x 1 kg.,Pouch,"No MSG Added, No Artificial colouring",6 months,"Tomato paste 23%, Sugar 23%, Distilled vinegar 5.3%, Iodized salt 2.3% Natural Colour and Nature Identical Flavour added. Preservatives added. Contains Mustard oil No MSG added.",Made for chefs by chefs. Knorr Tomato Ketchup is made from real tomatoes and is the perfect dipping sauce for any western and local dishes!,The product is good for a month in refrigerator after opening,,,
53,21075916,KNORR SELECTIONS Chili Sauce 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-chili-sauce-1-kg-1-EN-200172.html,['Made for chef by chefs. Knorr Chilli Sauce is the perfect dipping sauce for any local dishes. It can also be used to create a variety of sauces'],[''],,,12 x 1 kg.,Pouch,"Natural Colour and Presevatives added, No MSG added",6 months,"Sugar 20%, Red chilli pepper 12%, Distilled vinegar 6.3%, Iodized salt 3.2%, Garlic 1.8%, Pickled garlic 1.2% Natural Colour and Preservatives added No MSG added",Made for chef by chefs. Knorr Chilli Sauce is the perfect dipping sauce for any local dishes. It can also be used to create a variety of sauces,The product is good for 6 weeks in refrigerator after opening,,Serving(s) per container : 59 Serving size: 1 tbsp (17g),
54,21147351,KNORR Clear Noodle Soup Powder Pork Flavoured 850 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-clear-noodle-soup-powder-pork-flavoured-850-g-1-EN-197393.html,"['Made for Chefs by Chefs, Knorr Clear Noodle Soup Powder is specially created for Thai noodle soup. Made with good quality pork spinal bone and flavours for a sweet bone taste, it is blended with herbs and spices to give a meaty soup in just 35 minutes.']",[''],"Contain product from milk, sulphides, and might contain soybean, celery, wheat.",,10 x 850 g.,Pouch,,12 months,"Iodized Salt 34%, Sugar 21%, Spices 4.5%, Pork stock powder 1%, Chinese five spices 0.3%, Flavour enhancer (Monosodium glutamate, Disodium 5’ ribonucleotide), Natural colour (INS150c)","Made for Chefs by Chefs, Knorr Clear Noodle Soup Powder is specially created for Thai noodle soup. Made with good quality pork spinal bone and flavours for a sweet bone taste, it is blended with herbs and spices to give a meaty soup in just 35 minutes.",Close pack tightly and store in a cool and dry place,1. Bring 20 liters of water to boil. Add half the amount of pork bone usually used. Then heat until boiling for 30 minutes. 2. Add 260 grams of Knorr Clear Noodle Soup Powder and boil for another 5 minutes. 3. Meaty and flavour full is now ready to serve.,65 L. or 325 Bowls,
55,21131144,LIPTON Yellow Label Tea 2 g,https://www.unileverfoodsolutions.co.th/en/product/lipton-yellow-label-tea-2-g-1-EN-113388.html,"['Give your day a boost of brilliance with a rich taste and aroma, every sip is a burst of sunshine. Thanks to the great taste of the specially selected tea leaves we put in our blends. Your brighter day starts here.']",[''],,,6 x 100 x 2 g.,Case,,24 months,100% tea leaves,"Give your day a boost of brilliance with a rich taste and aroma, every sip is a burst of sunshine. Thanks to the great taste of the specially selected tea leaves we put in our blends. Your brighter day starts here.",Store in a cool and dry place,Place one tea bag for each person in a cup or pot. Pour in fresh boiling water. Allow to infuse for 2-3 minutes.,,"Add milk, sugar or honey if desired"
56,20108935,KNORR SELECTIONS Batter Mix 500 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-batter-mix-500-g-1-EN-113422.html,[''],[''],"Contain wheat, sulphides, and might contain soybean.",,6 x 500 g.,Pouch,,6 months,"Wheat flour 74%, Tapioca flour 7.7%, Rice flour 7.2%, Sugar 3%, Iodized salt 2.4%, Binding agent (INS1412), Raising agent (INS 450i, INS 500ii), Flavour enhancer (Monosodium glutamate)",,Close pack tightly and store in a cool and dry place.,,,
57,21010964,KNORR Chicken Seasoning Powder No Added MSG 800 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-chicken-seasoning-powder-no-added-msg-800-g-1-EN-113389.html,"['Knorr Chicken Seasoning Powder No Added MSG Made for Chefs by Chefs. A versatile seasoning to boost meatiness in many applications, without the use of MSG.']",[''],"Contain wheat, egg, sulphides, and might contain soybean, celery.",,6 x 800 g.,Pouch,,12 months,"Iodized Salt 43%, Sugar 31%, Spices 5.9%, Dehydrated chicken 5%, Flavour enhancer (Glycine), Natural colour (INS150c) Artificial flavour added, No Preservatives added.","Knorr Chicken Seasoning Powder No Added MSG Made for Chefs by Chefs. A versatile seasoning to boost meatiness in many applications, without the use of MSG.",Close pack tightly and store in a cool and dry place.,"For Stir-Frying, Marinating and Seasoning: Sprinkle desired amount of Knorr Chicken Seasoning Powder No Added MSG for improved flavour and taste of foods.",40 L. of stock,
58,21010967,KNORR Aromat 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-aromat-1-kg-1-EN-113392.html,['Made for Chefs by Chefs. An original blend of herb & spices that enhances the natural flavour of foods inspired by European chefs'],[''],"Contain celery, sulphides, and might contain wheat, soybean.",,6 x 1 kg.,Tub,,6 months,"Monosodium glutamate (INS 621) 21%, Maltodextrin 5.7%, Silicon dioxide (INS 551) 1.1%, Disodium 5’ ribonucleotide (INS 635) 0.3% Iodized Salt, Tapioca flour, Spices, Hydrolysed Vegetable Protein, Palm oil, Sugar No Preservatives added.",Made for Chefs by Chefs. An original blend of herb & spices that enhances the natural flavour of foods inspired by European chefs,Close pack tightly and store in a cool and dry place.,Sprinkle: Add 2.5 g per 250 g of deep-fried/cooked dishes. 1 tub makes 100 kg of deep-fried/cooked dishes,250 servings,
59,20108628,BEST FOODS Prepared Mustard 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-prepared-mustard-1-kg-1-EN-113330.html,[''],[''],Might contain product from fish and celery.,,6 x 1 kg.,Pouch,,6 months,"Distilled vinegar 22%, Mustard seeds 17% Iodized Salt 4%, Humectant (INS 1520)",,The product is good for 2 months in refrigerator after opening.,,,
60,20108582,BEST FOODS Baking Powder Double Acting Formula 4 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-baking-powder-double-acting-formula-4-kg-1-EN-113333.html,"['Best Foods Baking Powder Double Acting Formula (Food Additive) offer these important advantage. Release gas slowly when cold, so that gas activity will not be lost if user leaves dough unbaked. Rate of gas released is controlled so that better results are achieved both in dough and in texture of finished product.']",[''],Contain sulphides.,,2 x 4 kg.,Tub,,18 months,"Sodium bicarbonate(INS 500) 30%, Disodium pyrophosphate (INS 450i) 24%, Monocalcium phosphate (341i) 16%, Tapioca starch","Best Foods Baking Powder Double Acting Formula (Food Additive) offer these important advantage. Release gas slowly when cold, so that gas activity will not be lost if user leaves dough unbaked. Rate of gas released is controlled so that better results are achieved both in dough and in texture of finished product.",Use with dry spoon. Keep it tightly closed after opened. Keep away from light and heat.,(1) Cake: add Baking Powder Double Acting Formula 60 gram (around 2/5 measuring cup) for flour 1 kilogram or use as required in cooking book. (2) Pancake: add Baking Powder Double Acting Formula 35 gram (around 1/4 measuring cup) for flour 1 kilogram or use as required in cooking book (3) Cookie: add Baking Powder Double Acting Formula 15 gram (around 1 tablespoon) for flour 1 kilogram or use as required in cooking book.,,
61,20108581,BEST FOODS Baking Powder Double Acting Formula 17 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-baking-powder-double-acting-formula-17-kg-1-EN-113334.html,"['Best Foods Baking Powder Double Acting Formula (Food Additive) offer these important advantage. Release gas slowly when cold, so that gas activity will not be lost if user leaves dough unbaked. Rate of gas released is controlled so that better results are achieved both in dough and in texture of finished product.']",[''],Contain sulphides.,,1 x 17 kg.,Tub,,18 months,"Sodium bicarbonate(INS 500) 30%, Disodium pyrophosphate (INS 450i) 24%, Monocalcium phosphate (341i) 16%, Tapioca starch","Best Foods Baking Powder Double Acting Formula (Food Additive) offer these important advantage. Release gas slowly when cold, so that gas activity will not be lost if user leaves dough unbaked. Rate of gas released is controlled so that better results are achieved both in dough and in texture of finished product.",Use with dry spoon. Keep it tightly closed after opened. Keep away from light and heat.,(1) Cake: Add Baking Powder Double Acting Formula 60 gram (around 2/5 measuring cup) for flour 1 kilogram or use as required in cooking book. (2) Pancake: Add Baking Powder Double Acting Formula 35 gram (around 1/4 measuring cup) for flour 1 kilogram or use as required in cooking book (3) Cookie: Add Baking Powder Double Acting Formula 15 gram (around 1 tablespoon) for flour 1 kilogram or use as required in cooking book.,,
62,21130323,Sir Thomas J. Lipton Chamomile Herbal Infusion 1 g,https://www.unileverfoodsolutions.co.th/en/product/sir-thomas-j-lipton-chamomile-herbal-infusion-1-g-1-EN-249960.html,['Herbal Infusion. A delicate blend of chamomile flowers which is naturally caffeine free.'],[''],May contain traces of soy derivative,,6 x 25 x 1 g.,Box,,24 months,Chamomile flowers (M. recutita),Herbal Infusion. A delicate blend of chamomile flowers which is naturally caffeine free.,store in a cool and dry place,Place one tea bag for each person in a cup or pot. Pour in fresh boiling water. Allow to infuse for 2-3 minutes.,,
63,21069592,Sir Thomas J. Lipton Peppermint Herbal Infusion 1.5 g,https://www.unileverfoodsolutions.co.th/en/product/sir-thomas-j-lipton-peppermint-herbal-infusion-1-5-g-1-EN-249961.html,['Herbal Infusion. A clean and refreshing peppermint infusion.'],[''],May contain traces of soy derivative,,6 x 25 x 1.5 g.,Box,,24 months,Peppermint (M. piperita),Herbal Infusion. A clean and refreshing peppermint infusion.,store in a cool and dry place,Place one tea bag for each person in a cup or pot. Pour in fresh boiling water. Allow to infuse for 2-3 minutes.,,
64,20062501,BEST FOODS Caesar Salad Dressing 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-caesar-salad-dressing-1-kg-1-EN-113345.html,"['Flavourful Best Foods Caesar Dressing is ideal as a dressing for salad greens. It makes salads look more appealing and appetizing, while enhancing the flavour in the dishes. It is also a fantastic dipping sauce for fried and grilled dishes.']",[''],"Contain soybean, egg, milk, celery, sulphides and might contain mustard.",,9 x 1 kg.,Pouch,Halal,9 months,"Soybean oil 38%, Sugar 13%, Egg 4.5%, Distilled vinegar 4%, Iodized salt 2.3%, Oregano flake 0.05%, Thickener (INS 1442), Acidity regulator (INS 338), Preservative (INS 202), Stabilizer (INS 415), Natural colour (INS 150c), Emulsifier (INS 435), Antioxidant (INS 385), Artificial colours (INS 102, INS 110) Artificial flavour added","Flavourful Best Foods Caesar Dressing is ideal as a dressing for salad greens. It makes salads look more appealing and appetizing, while enhancing the flavour in the dishes. It is also a fantastic dipping sauce for fried and grilled dishes.",The product is good for a month in refrigerator after opening.,,,
65,67087963,Sir Thomas J. Lipton Lemon Herbal Infusion 1.9 g,https://www.unileverfoodsolutions.co.th/en/product/sir-thomas-j-lipton-lemon-herbal-infusion-1-9-g-1-EN-249962.html,"['Herbal Infusion. A lemon infusion blend, which is naturally caffeine free and will give you a deliciously refreshing taste.']",[''],May contain traces of soy derivative,,6 x 25 x 1.9 g.,Box,,24 months,"Lemon peel (25%), Chicory root, Hibiscus flowers, Natural lemon flavour, Orange Peel, Lemongrass, Food Acid","Herbal Infusion. A lemon infusion blend, which is naturally caffeine free and will give you a deliciously refreshing taste.",store in a cool and dry place,Place one tea bag for each person in a cup or pot. Pour in fresh boiling water. Allow to infuse for 2-3 minutes.,,
66,20062496,BEST FOODS Sandwich Spread 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-sandwich-spread-1-kg-1-EN-113346.html,"['Best Foods Sandwich Spread, well-rounded with carrot and pickle, easy used and made from pasteurised egg and sterilised by heat.']",[''],"Contain soybean, egg, mustard oil, protein, sulphides and might contain celery.",,6 x 1 kg.,Pouch,,6 months,"Soybean oil 36%, Sugar 16%, Egg 5.4%, Distilled vinegar 3.6%, Iodized salt 2.5%, Pickled relish 2.4%, Pickled carrot 1 %, Thickener (INS 1442), Stabilizer (INS 415), Acidity regulators (INS 330, INS 338), Preservative (INS 202), Flavour enhancer (Disodium 5'- ribonucleotide), Antioxidant (INS 385), Artificial colours (INS 102, INS 110) Artificail flavour added","Best Foods Sandwich Spread, well-rounded with carrot and pickle, easy used and made from pasteurised egg and sterilised by heat.",The product is good for 1 month in refrigerator after opening.,,,
67,20296071,BEST FOODS Vanilla Flavoured Filling 1.8 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-vanilla-flavoured-filling-1-8-kg-1-EN-113350.html,[''],[''],,,4 x 1.8 kg.,Pouch,,6 months,"Sugar 23%, Fructose syrup 6%, Tickener (INS1442), Artificial colours (INS 102, INS 110, INS 171) Preservatives (INS 202, INS 211), Acidity regulator (INS  507), Nature-identical flavour added.",,,,,
68,21024685,BEST FOODS Egg Custard Flavoured Filling 900 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-egg-custard-flavoured-filling-900-g-1-EN-113359.html,[''],[''],"Contain milk and might contain soy, sulphides.",,9 x 900 g.,Pouch,,6 months,"Fructose syrup 20%, Sugar 10%, Thickener (INS 1442), Emulsifier (INS 435), Preservatives (INS 202, INS 211), Acidity regulator (INS 338, INS 507), Artificuial colours (INS 102, INS 110, INS 171), Stabilizer (INS 415)",,Keep in refrigerator after opening.,,,
69,20109166,BEST FOODS Strawberry Jam 15 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-strawberry-jam-15-g-1-EN-113362.html,[''],[''],Contain sulphides.,,100 x 15 g.,Portion pack,,6 months,"Glucose syrup 33%, Strawberry 31%, Sugar 30%, Acidity regulator (INS 330), Thickener (INS 440), Preservatives (INS 202, INS 211), Artificial colours (INS 110, INS 127) Nature-identical flavour added",,Keep in refrigerator after opening.,,,
